id,charcter
2120,老
2121,労
2122,弄
2123,郎
2124,朗
2125,浪
2126,廊
2127,楼
2128,漏
2129,籠
2130,六
2131,録
2132,麓
2133,論
2134,和
2135,話
2136,賄
2137,脇
2138,惑
2139,枠
2140,湾
2141,腕
2142,あす
2143,あずき
2144,あま
2145,いおう
2146,いくじ
2147,いなか
2148,いぶき
2149,うなばら
2150,うば
2151,うわき
2152,うわつく
2153,えがお
2154,おじ
2155,おとな
2156,おとめ
2157,おば
2158,おまわりさん
2159,おみき
2160,おもや
2161,かあさん
2162,かぐら
2163,かし
2164,かじ
2165,かぜ
2166,かたず
2167,かな
2168,かや
2169,かわせ
2170,かわら
2171,きのう
2172,きょう
2173,くだもの
2174,くろうと
2175,けさ
2176,けしき
2177,ここち
2178,こじ
2179,ことし
2180,さおとめ
2181,ざこ
2182,さじき
2183,さしつかえる
2184,さつき
2185,さなえ
2186,さみだれ
2187,しぐれ
2188,しっぽ
2189,しない
2190,しにせ
2191,しばふ
2192,しみず
2193,しゃみせん
2194,じゃり
2195,じゅず
2196,じょうず
2197,しらが
2198,しろうと
2199,しわすしはす
2200,すきや
2201,すもう
2202,ぞうり
2203,だし
2204,たち
2205,たちのく
2206,たなばた
2207,たび
2208,ちご
2209,ついたち
2210,つきやま
2211,つゆ
2212,でこぼこ
2213,てつだう
2214,てんません
2215,とあみ
2216,とうさん
2217,とえはたえ
2218,どきょう
2219,とけい
2220,ともだち
2221,なこうど
2222,なごり
2223,なだれ
2224,にいさん
2225,ねえさん
2226,のら
2227,のりと
2228,はかせ
2229,はたち
2230,はつか
2231,はとば
2232,ひとり
2233,ひより
2234,ふたり
2235,ふつか
2236,ふぶき
2237,へた
2238,へや
2239,まいご
2240,まじめ
2241,まっか
2242,まっさお
2243,みやげ
2244,むすこ
2245,めがね
2246,もさ
2247,もみじ
2248,もめん
2249,もより
2250,やおちょう
2251,やおや
2252,やまと
2253,やよい
2254,ゆかた
2255,ゆくえ
2256,よせ
2257,わこうど
2258,愛媛
2259,堪能
2260,岐阜
2261,合点
2262,昆布
2263,紺屋
2264,詩歌
2265,鹿児島
2266,滋賀
2267,七日
2268,十
2269,憧憬
2270,茨城
2271,宮城
2272,神奈川
2273,側
2274,唾
2275,鳥取
2276,貼付
2277,難しい
2278,大阪
2279,富山
2280,富貴
2281,大分
2282,文字
2283,?
2284,免れる
2285,奈良
2286,
