id,kanjis_id,read_full,yomigana,okurigana,is_japanese_reading
3755,1821,フ,フ,,false
3756,1821,ある-く,ある,く,true
3757,1821,あゆ-む,あゆ,む,true
3758,1822,ホ,ホ,,false
3759,1822,たも-つ,たも,つ,true
3760,1823,ホ,ホ,,false
3761,1824,ホ,ホ,,false
3762,1824,と-らえる,と,らえる,true
3763,1824,と-らわれる,と,らわれる,true
3764,1824,と-る,と,る,true
3765,1824,つか-まえる,つか,まえる,true
3766,1824,つか-まる,つか,まる,true
3767,1825,ホ,ホ,,false
3768,1825,おぎな-う,おぎな,う,true
3769,1826,ホ,ホ,,false
3770,1827,ボ,ボ,,false
3771,1827,はは,はは,,true
3772,1828,ボ,ボ,,false
3773,1828,つの-る,つの,る,true
3774,1829,ボ,ボ,,false
3775,1829,はか,はか,,true
3776,1830,ボ,ボ,,false
3777,1830,した-う,した,う,true
3778,1831,ボ,ボ,,false
3779,1831,く-れる,く,れる,true
3780,1831,く-らす,く,らす,true
3781,1832,ボ,ボ,,false
3782,1833,ホウ,ホウ,,false
3783,1833,かた,かた,,true
3784,1834,ホウ,ホウ,,false
3785,1834,つつ-む,つつ,む,true
3786,1835,ホウ,ホウ,,false
3787,1835,かんば-しい,かんば,しい,true
3788,1836,ホウ,ホウ,,false
3789,1837,ホウ,ホウ,,false
3790,1837,ブ,ブ,,false
3791,1837,たてまつ-る,たてまつ,る,true
3792,1838,ホウ,ホウ,,false
3793,1838,たから,たから,,true
3794,1839,ホウ,ホウ,,false
3795,1839,だ-く,だ,く,true
3796,1839,いだ-く,いだ,く,true
3797,1839,かか-える,かか,える,true
3798,1840,ホウ,ホウ,,false
3799,1840,はな-す,はな,す,true
3800,1840,はな-つ,はな,つ,true
3801,1840,はな-れる,はな,れる,true
3802,1840,ほう-る,ほう,る,true
3803,1841,ホウ,ホウ,,false
3804,1841,ハッ,ハッ,,false
3805,1841,ホッ,ホッ,,false
3806,1842,ホウ,ホウ,,false
3807,1842,あわ,あわ,,true
3808,1843,ホウ,ホウ,,false
3809,1844,ホウ,ホウ,,false
3810,1845,ホウ,ホウ,,false
3811,1845,なら-う,なら,う,true
3812,1846,ホウ,ホウ,,false
3813,1846,みね,みね,,true
3814,1847,ホウ,ホウ,,false
3815,1848,ホウ,ホウ,,false
3816,1848,くず-れる,くず,れる,true
3817,1848,くず-す,くず,す,true
3818,1849,ホウ,ホウ,,false
3819,1849,おとず-れる,おとず,れる,true
3820,1849,たず-ねる,たず,ねる,true
3821,1850,ホウ,ホウ,,false
3822,1850,むく-いる,むく,いる,true
3823,1851,ホウ,ホウ,,false
3824,1851,はち,はち,,true
3825,1852,ホウ,ホウ,,false
3826,1852,ゆた-か,ゆた,か,true
3827,1853,ホウ,ホウ,,false
3828,1853,あ-きる,あ,きる,true
3829,1853,あ-かす,あ,かす,true
3830,1854,ホウ,ホウ,,false
3831,1854,ほ-める,ほ,める,true
3832,1855,ホウ,ホウ,,false
3833,1855,ぬ-う,ぬ,う,true
3834,1856,ボウ,ボウ,,false
3835,1856,モウ,モウ,,false
3836,1856,な-い,な,い,true
3837,1857,ボウ,ボウ,,false
3838,1857,とぼ-しい,とぼ,しい,true
3839,1858,ボウ,ボウ,,false
3840,1858,いそが-しい,いそが,しい,true
3841,1859,ボウ,ボウ,,false
3842,1859,ボッ,ボッ,,false
3843,1860,ボウ,ボウ,,false
3844,1860,さまた-げる,さまた,げる,true
3845,1861,ボウ,ボウ,,false
3846,1861,わす-れる,わす,れる,true
3847,1862,ボウ,ボウ,,false
3848,1862,ふせ-ぐ,ふせ,ぐ,true
3849,1863,ボウ,ボウ,,false
3850,1863,ふさ,ふさ,,true
3851,1864,ボウ,ボウ,,false
3852,1865,ボウ,ボウ,,false
3853,1866,ボウ,ボウ,,false
3854,1866,おか-す,おか,す,true
3855,1867,ボウ,ボウ,,false
3856,1868,ボウ,ボウ,,false
3857,1868,つむ-ぐ,つむ,ぐ,true
3858,1869,ボウ,ボウ,,false
3859,1869,モウ,モウ,,false
3860,1869,のぞ-む,のぞ,む,true
3861,1870,ボウ,ボウ,,false
3862,1870,かたわ-ら,かたわ,ら,true
3863,1871,ボウ,ボウ,,false
3864,1872,ボウ,ボウ,,false
3865,1873,ボウ,ボウ,,false
3866,1874,ボウ,ボウ,,false
3867,1875,ボウ,ボウ,,false
3868,1875,バク,バク,,false
3869,1875,あば-く,あば,く,true
3870,1875,あば-れる,あば,れる,true
3871,1876,ボウ,ボウ,,false
3872,1876,ふく-らむ,ふく,らむ,true
3873,1876,ふく-れる,ふく,れる,true
3874,1877,ボウ,ボウ,,false
3875,1877,ム,ム,,false
3876,1877,はか-る,はか,る,true
3877,1878,ほお,ほお,,true
3878,1879,ホク,ホク,,false
3879,1879,きた,きた,,true
3880,1880,ボク,ボク,,false
3881,1880,モク,モク,,false
3882,1880,き,き,,true
3883,1880,こ,こ,,true
3884,1881,ボク,ボク,,false
3885,1882,ボク,ボク,,false
3886,1882,まき,まき,,true
3887,1883,ボク,ボク,,false
3888,1884,ボク,ボク,,false
3889,1885,ボク,ボク,,false
3890,1885,すみ,すみ,,true
3891,1886,ボク,ボク,,false
3892,1887,ボツ,ボツ,,false
3893,1888,ボツ,ボツ,,false
3894,1889,ほり,ほり,,true
3895,1890,ホン,ホン,,false
3896,1890,もと,もと,,true
3897,1891,ホン,ホン,,false
3898,1892,ホン,ホン,,false
3899,1892,ひるがえ-る,ひるがえ,る,true
3900,1892,ひるがえ-す,ひるがえ,す,true
3901,1893,ボン,ボン,,false
3902,1893,ハン,ハン,,false
3903,1894,ボン,ボン,,false
3904,1895,マ,マ,,false
3905,1895,あさ,あさ,,true
3906,1896,マ,マ,,false
3907,1897,マ,マ,,false
3908,1897,みが-く,みが,く,true
3909,1898,マ,マ,,false
3910,1899,マイ,マイ,,false
3911,1900,マイ,マイ,,false
3912,1900,いもうと,いもうと,,true
3913,1901,マイ,マイ,,false
3914,1902,マイ,マイ,,false
3915,1903,マイ,マイ,,false
3916,1903,う-める,う,める,true
3917,1903,う-まる,う,まる,true
3918,1903,う-もれる,う,もれる,true
3919,1904,マク,マク,,false
3920,1904,バク,バク,,false
3921,1905,マク,マク,,false
3922,1906,まくら,まくら,,true
3923,1907,また,また,,true
3924,1908,マツ,マツ,,false
3925,1908,バツ,バツ,,false
3926,1908,すえ,すえ,,true
3927,1909,マツ,マツ,,false
3928,1910,マン,マン,,false
3929,1910,バン,バン,,false
3930,1911,マン,マン,,false
3931,1911,み-ちる,み,ちる,true
3932,1911,み-たす,み,たす,true
3933,1912,マン,マン,,false
3934,1913,マン,マン,,false
3935,1914,ミ,ミ,,false
3936,1915,ミ,ミ,,false
3937,1915,あじ,あじ,,true
3938,1915,あじ-わう,あじ,わう,true
3939,1916,ミ,ミ,,false
3940,1917,みさき,みさき,,true
3941,1918,ミツ,ミツ,,false
3942,1919,ミツ,ミツ,,false
3943,1920,ミャク,ミャク,,false
3944,1921,ミョウ,ミョウ,,false
3945,1922,ミン,ミン,,false
3946,1922,たみ,たみ,,true
3947,1923,ミン,ミン,,false
3948,1923,ねむ-る,ねむ,る,true
3949,1923,ねむ-い,ねむ,い,true
3950,1924,ム,ム,,false
3951,1924,ほこ,ほこ,,true
3952,1925,ム,ム,,false
3953,1925,つと-める,つと,める,true
3954,1925,つと-まる,つと,まる,true
3955,1926,ム,ム,,false
3956,1926,ブ,ブ,,false
3957,1926,な-い,な,い,true
3958,1927,ム,ム,,false
3959,1927,ゆめ,ゆめ,,true
3960,1928,ム,ム,,false
3961,1928,きり,きり,,true
3962,1929,むすめ,むすめ,,true
3963,1930,メイ,メイ,,false
3964,1930,ミョウ,ミョウ,,false
